[INFO] 2024-02-21 20:30:08 Portas COM disponíveis:
[INFO] 2024-02-21 20:30:08 COM30
[INFO] 2024-02-21 20:30:08 COM65
[INFO] 2024-02-21 20:30:08 COM31
[INFO] 2024-02-21 20:30:08 COM35
[INFO] 2024-02-21 20:30:12 Serial RX started
[INFO] 2024-02-21 20:30:12 Serial TX started
[INFO] 2024-02-21 20:30:12 TX: b'restart\n'
[INFO] 2024-02-21 20:30:15 Serial RX started
[INFO] 2024-02-21 20:30:15 Serial TX started
[INFO] 2024-02-21 20:30:15 Meas -> TS: 790668	 LC: 50.91	 RS:1104

[INFO] 2024-02-21 20:30:15 Meas -> TS: 790678	 LC: 50.92	 RS:1100

[INFO] 2024-02-21 20:30:15 Meas -> TS: 790688	 LC: 50.89	 RS:1104

[INFO] 2024-02-21 20:30:15 Meas -> TS: 790700	 LC: 50.89	 RS:1102

[INFO] 2024-02-21 20:30:15 Meas -> TS: 790710	 LC: 50.93	 RS:1106

[INFO] 2024-02-21 20:30:15 Meas -> TS: 790722	 LC: 50.97	 RS:1105

[INFO] 2024-02-21 20:30:15 Meas -> TS: 790732	 LC: 50.92	 RS:1104

[INFO] 2024-02-21 20:30:15 Meas -> TS: 790744	 LC: 50.92	 RS:1108

[INFO] 2024-02-21 20:30:15 Meas -> TS: 790754	 LC: 50.91	 RS:1101

[INFO] 2024-02-21 20:30:15 Meas -> TS: 790766	 LC: 50.91	 RS:1101

[INFO] 2024-02-21 20:30:15 Meas -> TS: 790776	 LC: 50.86	 RS:1102

[INFO] 2024-02-21 20:30:15 Meas -> TS: 790786	 LC: 50.85	 RS:1109

[INFO] 2024-02-21 20:30:15 Meas -> TS: 790798	 LC: 50.87	 RS:1104

[INFO] 2024-02-21 20:30:15 Meas -> TS: 790808	 LC: 50.95	 RS:1104

[INFO] 2024-02-21 20:30:15 Meas -> TS: 790820	 LC: 51.04	 RS:1108

[INFO] 2024-02-21 20:30:15 Meas -> TS: 790830	 LC: 50.9	 RS:1100

[INFO] 2024-02-21 20:30:15 Meas -> TS: 790842	 LC: 50.86	 RS:1106

[INFO] 2024-02-21 20:30:15 Meas -> TS: 790852	 LC: 50.9	 RS:1104

[INFO] 2024-02-21 20:30:15 Meas -> TS: 790864	 LC: 50.92	 RS:1101

[INFO] 2024-02-21 20:30:15 Meas -> TS: 790874	 LC: 50.97	 RS:1112

[INFO] 2024-02-21 20:30:15 Meas -> TS: 790884	 LC: 50.92	 RS:1106

[INFO] 2024-02-21 20:30:15 Meas -> TS: 790896	 LC: 50.95	 RS:1113

[INFO] 2024-02-21 20:30:15 Meas -> TS: 790906	 LC: 50.96	 RS:1110

[INFO] 2024-02-21 20:30:15 Meas -> TS: 790918	 LC: 50.87	 RS:1103

[INFO] 2024-02-21 20:30:15 Meas -> TS: 790928	 LC: 50.94	 RS:1107

[INFO] 2024-02-21 20:30:15 Meas -> TS: 790940	 LC: 50.93	 RS:1106

[INFO] 2024-02-21 20:30:15 Meas -> TS: 790950	 LC: 50.91	 RS:1104

[INFO] 2024-02-21 20:30:15 Meas -> TS: 790962	 LC: 50.91	 RS:1100

[INFO] 2024-02-21 20:30:15 Meas -> TS: 790972	 LC: 50.96	 RS:1104

[INFO] 2024-02-21 20:30:15 Meas -> TS: 790982	 LC: 50.96	 RS:1108

[INFO] 2024-02-21 20:30:15 Meas -> TS: 790994	 LC: 50.95	 RS:1112

[INFO] 2024-02-21 20:30:15 Meas -> TS: 791004	 LC: 50.92	 RS:1106

[INFO] 2024-02-21 20:30:15 Meas -> TS: 791016	 LC: 50.9	 RS:1112

[INFO] 2024-02-21 20:30:15 Meas -> TS: 791026	 LC: 50.9	 RS:1108

[INFO] 2024-02-21 20:30:15 Meas -> TS: 791038	 LC: 50.95	 RS:1106

[INFO] 2024-02-21 20:30:15 Meas -> TS: 791048	 LC: 50.88	 RS:1108

[INFO] 2024-02-21 20:30:15 Meas -> TS: 791058	 LC: 50.84	 RS:1104

[INFO] 2024-02-21 20:30:15 Meas -> TS: 791070	 LC: 50.91	 RS:1108

[INFO] 2024-02-21 20:30:15 Meas -> TS: 791080	 LC: 50.94	 RS:1100

[INFO] 2024-02-21 20:30:15 Meas -> TS: 791092	 LC: 50.86	 RS:1105

[INFO] 2024-02-21 20:30:15 Meas -> TS: 791102	 LC: 50.9	 RS:1100

[INFO] 2024-02-21 20:30:15 Meas -> TS: 791114	 LC: 50.94	 RS:1104

[INFO] 2024-02-21 20:30:15 Meas -> TS: 791124	 LC: 50.99	 RS:1106

[INFO] 2024-02-21 20:30:15 Meas -> TS: 791136	 LC: 50.97	 RS:1101

[INFO] 2024-02-21 20:30:15 Meas -> TS: 791146	 LC: 50.89	 RS:1097

[INFO] 2024-02-21 20:30:15 Meas -> TS: 791156	 LC: 50.87	 RS:1100

[INFO] 2024-02-21 20:30:15 Meas -> TS: 791168	 LC: 50.88	 RS:1106

[INFO] 2024-02-21 20:30:15 Meas -> TS: 791178	 LC: 50.93	 RS:1110

[INFO] 2024-02-21 20:30:15 Meas -> TS: 791190	 LC: 50.93	 RS:1105

[INFO] 2024-02-21 20:30:15 Meas -> TS: 791200	 LC: 50.84	 RS:1097

[INFO] 2024-02-21 20:30:15 Meas -> TS: 791212	 LC: 50.87	 RS:1111

[INFO] 2024-02-21 20:30:15 Meas -> TS: 791222	 LC: 50.89	 RS:1098

[INFO] 2024-02-21 20:30:15 Meas -> TS: 791234	 LC: 50.94	 RS:1106

[INFO] 2024-02-21 20:30:15 Meas -> TS: 791244	 LC: 50.92	 RS:1104

[INFO] 2024-02-21 20:30:15 Meas -> TS: 791254	 LC: 50.87	 RS:1105

[INFO] 2024-02-21 20:30:15 Meas -> TS: 791266	 LC: 50.89	 RS:1106

[INFO] 2024-02-21 20:30:15 Meas -> TS: 791276	 LC: 50.92	 RS:1104

[INFO] 2024-02-21 20:30:15 Meas -> TS: 791288	 LC: 50.93	 RS:1102

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791298	 LC: 50.92	 RS:1104

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791310	 LC: 50.87	 RS:1104

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791320	 LC: 50.91	 RS:1098

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791332	 LC: 50.9	 RS:1096

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791342	 LC: 50.84	 RS:1113

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791352	 LC: 50.87	 RS:1100

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791364	 LC: 50.93	 RS:1104

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791374	 LC: 50.99	 RS:1104

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791386	 LC: 51.07	 RS:1100

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791396	 LC: 50.95	 RS:1104

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791408	 LC: 50.93	 RS:1098

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791418	 LC: 50.9	 RS:1112

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791430	 LC: 50.84	 RS:1104

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791440	 LC: 50.81	 RS:1104

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791450	 LC: 50.81	 RS:1100

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791462	 LC: 50.82	 RS:1106

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791472	 LC: 50.88	 RS:1097

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791484	 LC: 50.93	 RS:1104

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791494	 LC: 50.88	 RS:1104

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791506	 LC: 50.84	 RS:1100

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791516	 LC: 50.86	 RS:1106

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791528	 LC: 50.83	 RS:1104

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791538	 LC: 50.82	 RS:1111

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791548	 LC: 50.86	 RS:1104

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791560	 LC: 50.88	 RS:1106

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791570	 LC: 50.91	 RS:1106

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791582	 LC: 50.9	 RS:1106

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791592	 LC: 50.9	 RS:1106

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791604	 LC: 50.92	 RS:1100

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791614	 LC: 50.9	 RS:1104

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791626	 LC: 50.83	 RS:1104

[ERROR] 2024-02-21 20:30:16 ValueError("invalid literal for int() with base 10: '79q636'")
[INFO] 2024-02-21 20:30:16 Meas -> TS: None	 LC: 50.84	 RS:1101

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791646	 LC: 50.93	 RS:1100

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791658	 LC: 50.87	 RS:1099

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791668	 LC: 50.84	 RS:1106

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791680	 LC: 50.82	 RS:1102

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791690	 LC: 50.86	 RS:1106

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791702	 LC: 50.89	 RS:1105

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791712	 LC: 50.9	 RS:1102

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791724	 LC: 50.83	 RS:1106

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791734	 LC: 50.79	 RS:1105

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791744	 LC: 50.79	 RS:1104

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791756	 LC: 50.89	 RS:1104

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791766	 LC: 50.91	 RS:1106

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791778	 LC: 50.85	 RS:1109

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791788	 LC: 50.87	 RS:1104

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791800	 LC: 50.96	 RS:1107

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791810	 LC: 50.93	 RS:1110

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791822	 LC: 50.89	 RS:1104

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791832	 LC: 50.86	 RS:1104

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791842	 LC: 50.9	 RS:1112

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791854	 LC: 50.91	 RS:1104

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791864	 LC: 50.88	 RS:1110

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791876	 LC: 50.9	 RS:1100

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791886	 LC: 50.94	 RS:1110

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791898	 LC: 50.96	 RS:1100

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791908	 LC: 50.89	 RS:1105

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791920	 LC: 50.92	 RS:1110

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791930	 LC: 50.84	 RS:1104

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791940	 LC: 50.8	 RS:1104

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791952	 LC: 50.84	 RS:1104

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791962	 LC: 50.86	 RS:1106

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791974	 LC: 50.87	 RS:1106

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791984	 LC: 50.84	 RS:1100

[INFO] 2024-02-21 20:30:16 Meas -> TS: 791996	 LC: 50.82	 RS:1110

[INFO] 2024-02-21 20:30:16 Meas -> TS: 792006	 LC: 50.88	 RS:1110

[INFO] 2024-02-21 20:30:16 Meas -> TS: 792018	 LC: 50.87	 RS:1104

[INFO] 2024-02-21 20:30:16 Meas -> TS: 792028	 LC: 50.82	 RS:1110

[INFO] 2024-02-21 20:30:16 Meas -> TS: 792038	 LC: 50.83	 RS:1107

[INFO] 2024-02-21 20:30:16 Meas -> TS: 792050	 LC: 50.85	 RS:1103

[INFO] 2024-02-21 20:30:16 Meas -> TS: 792060	 LC: 50.86	 RS:1104

[INFO] 2024-02-21 20:30:16 Meas -> TS: 792072	 LC: 50.79	 RS:1107

[INFO] 2024-02-21 20:30:16 Meas -> TS: 792082	 LC: 50.8	 RS:1112

[INFO] 2024-02-21 20:30:16 Meas -> TS: 792094	 LC: 50.88	 RS:1104

[INFO] 2024-02-21 20:30:16 Meas -> TS: 792104	 LC: 50.87	 RS:1100

[INFO] 2024-02-21 20:30:16 Meas -> TS: 792116	 LC: 50.84	 RS:1108

[INFO] 2024-02-21 20:30:16 Meas -> TS: 792126	 LC: 50.88	 RS:1112

[INFO] 2024-02-21 20:30:16 Meas -> TS: 792136	 LC: 50.91	 RS:1108

[INFO] 2024-02-21 20:30:16 Meas -> TS: 792148	 LC: 50.88	 RS:1108

[INFO] 2024-02-21 20:30:16 Meas -> TS: 792158	 LC: 50.86	 RS:1104

[INFO] 2024-02-21 20:30:16 Meas -> TS: 792170	 LC: 50.88	 RS:1108

[ERROR] 2024-02-21 20:30:16 ValueError("invalid literal for int() with base 10: 'w92180'")
[INFO] 2024-02-21 20:30:16 Meas -> TS: None	 LC: 50.85	 RS:1108

[INFO] 2024-02-21 20:30:16 Meas -> TS: 792192	 LC: 50.83	 RS:1114

